WellName,Formation,StartDepth,EndDepth,Footage,MaxRop,AvgRop,MinRop,MaxDiff,AvgDiff,MinDiff,MaxDmse,AvgDmse,MinDmse,MinWob,AvgWob,MaxWob,MinRpm,AvgRpm,MaxRpm,MinFlowIn,MaxFlowIn,MinTdTorque,MaxTdTorque,MinSurfaceMse,MaxSurfaceMse,ConservativeDays,AggressiveDays,WorstCaseDays
PRINCE LB A1 4H,RUSTLER,1178.01,1562.98,384.97,265.3,143.8,90.4,587.558,360.505,158.3161591,10.14783054,4.194986475,2.131653682,12.05200551,22,34.9,90.36,120.66,154.505,477,527,6101.5,12410,5.564135029,15.613863,0.111546708,0.060461427,0.177438237
PRINCE LB A1 4H,TANSILL,1563.01,1725.99,162.98,464.525,301.6,119.2,973.75,483.365,197.2275,8.39035806,3.874819899,2.009799439,11.3,32.5,36.3,101.7,159.66,200.22,565,779,10015,13476.25,5.600066512,10.93416272,0.022516026,0.014618876,0.056970078
PRINCE LB A1 4H,YATES,1726.03,1952.96,226.93,489.175,192.7,122.475,1176.31,615.88,268.8525,20.11958144,8.181953848,3.725131582,12.2,40.4,45.3,140.22,200.12,200.92,779,779,12557,16149.5,9.555460663,21.11842916,0.049068068,0.019329313,0.077202831
PRINCE LB A1 4H,SEVEN RIVERS,1953.08,2582.93,629.85,481.57,309.1,140,918.61,659.53,461.291,14.16932704,7.044722857,4.509133007,26.39,43.6,45.5,199.72,200.12,200.72,779,779,13293,18517.7,11.00613122,20.35458782,0.084903753,0.054496231,0.187455357
PRINCE LB A1 4H,QUEEN,2583.02,3077.99,494.97,409.9,178.2,99.625,913.91,641.205,395.5675,13.53071592,10.07484434,6.72926585,27.3,43.3,45.6,180.12,199.92,200.72,779,779,12970,18248.25,15.32032204,22.62921467,0.115733726,0.050314101,0.207013802
PRINCE LB A1 4H,GRAYBURG,3078.02,3139.98,61.96,100.4,99.7,74.2,458.2175,380.955,303.21,12.31940265,10.38505079,9.007442834,21,27.45,40.2,140.22,180.02,180.62,779,779,8226.5,11349.75,16.95542297,23.69809101,0.02589435,0.025713811,0.034793351
PRINCE LB A1 4H,SAN ANDRES,3140.01,4187.94,1047.93,398.42,153.8,49,899.704,503.06,114.234,17.57253944,8.655416163,3.826188795,12,33.9,45.5,140.22,199.72,200.72,779,779,10836,19600.4,14.01117931,42.12115298,0.283899545,0.109592264,0.891096939
PRINCE LB A1 4H,CLEAR FORK,4188.04,5970.93,1782.89,344.98,253.3,99.7,1124.436,925.35,296.918,15.43494869,9.753710131,7.6728308,15.9,48.2,52.6,186.04,195.34,199.82,753,779,17956,23101,15.7753957,38.20027229,0.293277076,0.215337363,0.745106152
PRINCE LB A1 2H,UPPER SPRABERRY,5971.02,6528.99,557.97,298.6,34.3,13.81105703,1136.042,269.74,139.008,54.87555932,11.96432701,9.084853181,27.2,33.5,60.9,135.54,135.54,185.84,753,753,4531,23887.2,16.8779108,99.68973688,0.677806122,0.077859176,1.683343278
PRINCE  UB A1 3H,LOWER SPRABERRY,6529.02,6847.96,318.94,209.2,147,87.63,945.423,763.68,429.268,24.05434731,14.95141859,12.27598747,53.8,54.9,56.1,195.24,195.54,196.14,753,753,15684,21590.6,24.39636847,59.17360592,0.090402494,0.063523741,0.151650881
PRINCE  UB A1 3H,JO MILL,6848.02,7354.96,506.94,191.38,137,74.9,894.34,720.72,419.296,26.13974147,15.14053428,12.20470624,54.1,55.6,57,195.34,195.54,196.04,753,753,15864,20072.4,26.03540018,57.67464589,0.154178832,0.110369422,0.282009346
PRINCE  UB A1 3H,DEAN,7355.01,7505.02,150.01,189.3,117.4,59.295,945.637,725.91,416.4725,32.04138943,17.76354985,13.53261201,54.3,55.8,57,195.64,195.84,196.24,753,753,14503.5,20137,28.36539595,58.08127934,0.053240346,0.033018577,0.105412205
